Trade #,ENTRY DATE,Month ,Year,Day,System,Symbols,LOT SIZE,Qty,LONG/SHORT,Average Qty,ENTRY,SYSTEM ENTRY,EXIT,SYSTEM EXIT,BNF_Intra PnL in points,Charges,Slippage points,Commission points,Commisiion and slippage,Gross PnL,Net PnL,Net Points,Result,Cum Profit,Cum Points,Account growth,% on Equity,% on initial equity,CAGR %,Net Cum %,Equity Peak,Max Sys Drawdown,Average Slippage_Fdsystem,Average Slippage_IBFD,Average Slippage_BNFIntra,Remarks
1,25-05-2021,#REF!,#REF!,Tue,FD System,,2,50,SHORT,#REF!,645.3,591.65,537.35,503.7,,200,#REF!,#REF!,1.46%,5397.5,5197.5,103.95,WIN,5197.5,104,505197.5,1.04%,1.04%,1.04%,1.04%,505197.5,0.00%,-1.29%,-1.13%,-0.07%,Account resettled to 4Laks
2,26-05-2021,#REF!,#REF!,Wed,FD System,,3,75,SHORT,#REF!,406.9,408.05,334.8,337.25,,257,#REF!,#REF!,-0.29%,5407.5,5150.5,68.67,WIN,10348,173,510348,1.02%,1.03%,2.06%,2.07%,505197.5,0.00%,-1.29%,-1.13%,-0.07%,
3,27-05-2021,#REF!,#REF!,Thu,FD System,,3,75,SHORT,#REF!,235.6667,239.75,286,285.0395,,231.07,#REF!,#REF!,-1.55%,-3774.9975,-4006.07,-53.41,LOSS,6341.93,119,506341.9325,-0.78%,-0.80%,1.27%,1.27%,510348,0.00%,-1.29%,-1.13%,-0.07%,
4,01-06-2021,#REF!,#REF!,Tue,FD System,,2,50,SHORT,#REF!,494.2,500.6,429.95,422.85,,240,#REF!,#REF!,-1.98%,3212.5,2972.5,59.45,WIN,9314.43,179,509314.4325,0.59%,0.59%,1.86%,1.86%,510348,0.78%,-1.29%,-1.13%,-0.07%,
5,02-06-2021,#REF!,#REF!,Wed,FD System,,3,75,SHORT,#REF!,349.3,360.35,286.4,285.15,,250,#REF!,#REF!,-2.42%,4717.5,4467.5,59.57,WIN,13781.93,238,513781.9325,0.88%,0.89%,2.74%,2.76%,510348,0.78%,-1.29%,-1.13%,-0.07%,
6,03-06-2021,#REF!,#REF!,Thu,FD System,,4,100,SHORT,#REF!,166.8,170.4,55.95,53.9,,280,#REF!,#REF!,-3.77%,11085,10805,108.05,WIN,24586.93,346,524586.9325,2.10%,2.16%,4.84%,4.92%,513781.9325,0.78%,-1.29%,-1.13%,-0.07%,
7,01-06-2021,#REF!,#REF!,Tue,IBFD_Invertir,,2,50,SHORT,#REF!,501.5,504,430.1,422.85,,250,#REF!,#REF!,-1.59%,3570,3320,66.4,WIN,27906.93,413,527906.9325,0.63%,0.66%,5.47%,5.58%,524586.9325,0.78%,-1.29%,-1.13%,-0.07%,
8,02-06-2021,#REF!,#REF!,Wed,IBFD_Invertir,,3,75,SHORT,#REF!,319.45,319.55,313.25,314.55,,250,#REF!,#REF!,-0.34%,465,215,2.87,WIN,28121.93,416,528121.9325,0.04%,0.04%,5.51%,5.62%,527906.9325,0.78%,-1.29%,-1.13%,-0.07%,
9,03-06-2021,#REF!,#REF!,Thu,IBFD_Invertir,,5,125,SHORT,#REF!,142.85,144.5,75.45,75.48,,280,#REF!,#REF!,-1.76%,8425,8145,65.16,WIN,36266.93,481,536266.9325,1.54%,1.63%,7.06%,7.25%,528121.9325,0.78%,-1.29%,-1.13%,-0.07%,
10,28-05-2021,#REF!,#REF!,Fri,BNF_Intra,35300PE,2,50,SHORT,#REF!,571.45,35275,478.05,,-90,100,#REF!,#REF!,-0.14%,-4670,-4770,-95.4,LOSS,31496.93,385,531496.9325,-0.89%,-0.95%,6.17%,6.30%,536266.9325,0.78%,-1.29%,-1.13%,-0.07%,
11,31-05-2021,#REF!,#REF!,Mon,BNF_Intra,35500CE,2,50,SHORT,#REF!,359.7,35500,380.58,,52.65,100,#REF!,#REF!,-0.02%,1044,944,18.88,WIN,32440.93,404,532440.9325,0.18%,0.19%,6.35%,6.49%,536266.9325,0.89%,-1.29%,-1.13%,-0.07%,
12,04-06-2021,#REF!,#REF!,Fri,BNF_Intra,35500PE,2,50,SHORT,#REF!,474.6,35500,447.3,,10,100,#REF!,#REF!,-0.10%,-1365,-1465,-29.3,LOSS,30975.93,375,530975.9325,-0.28%,-0.29%,6.07%,6.20%,536266.9325,0.89%,-1.29%,-1.13%,-0.07%,
13,07-06-2021,#REF!,#REF!,Mon,BNF_Intra,35700CE,2,50,SHORT,#REF!,250.5,35700,216.15,,-121.9,100,#REF!,#REF!,0.07%,-1717.5,-1817.5,-36.35,LOSS,29158.43,339,529158.4325,-0.34%,-0.36%,5.73%,5.83%,536266.9325,0.99%,-1.29%,-1.13%,-0.07%,
14,08-06-2021,#REF!,#REF!,Tue,FD System,,3,75,SHORT,#REF!,378.6,381.5,348.3,347.4,,250,#REF!,#REF!,-0.98%,2272.5,2022.5,26.97,WIN,31180.93,365,531180.9325,0.38%,0.40%,6.11%,6.24%,536266.9325,1.33%,-1.29%,-1.13%,-0.07%,
15,08-06-2021,#REF!,#REF!,Tue,IBFD_Invertir,,2,50,SHORT,#REF!,395.85,398.1,334.55,333,,235,#REF!,#REF!,-1.16%,3065,2830,56.6,WIN,34010.93,422,534010.9325,0.53%,0.57%,6.64%,6.80%,536266.9325,1.33%,-1.29%,-1.13%,-0.07%,
16,09-06-2021,#REF!,#REF!,Wed,Fd System,,3,75,SHORT,#REF!,303.9,286.2,406.6,409.626,,250,#REF!,#REF!,2.50%,-7702.5,-7952.5,-106.03,LOSS,26058.43,316,526058.4325,-1.49%,-1.59%,5.15%,5.21%,536266.9325,1.33%,-1.29%,-1.13%,-0.07%,
17,09-06-2021,#REF!,#REF!,Wed,IBFD_Invertir,,3,75,SHORT,#REF!,256.15,257.1,177.8,174.42,,250,#REF!,#REF!,-1.78%,5876.25,5626.25,75.02,WIN,31684.68,391,531684.6825,1.07%,1.13%,6.22%,6.34%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
18,10-06-2021,#REF!,#REF!,Thu,Fd System,,4,100,SHORT,#REF!,163.25,165.3,178.75,178.4783,,250,#REF!,#REF!,-1.40%,-1550,-1800,-18,LOSS,29884.68,373,529884.6825,-0.34%,-0.36%,5.88%,5.98%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
19,10-06-2021,#REF!,#REF!,Thu,IBFD_Invertir,,4,100,SHORT,#REF!,161.55,162.85,103.6,101.044,,250,#REF!,#REF!,-2.41%,5795,5545,55.45,WIN,35429.68,429,535429.6825,1.05%,1.11%,6.93%,7.09%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
20,11-06-2021,#REF!,#REF!,Fri,BNF_Intra,,2,50,SHORT,#REF!,476.15,35000,338.43,,-162.75,,#REF!,#REF!,-0.16%,-6886,-6886,-137.72,LOSS,28543.68,291,528543.6825,-1.29%,-1.38%,5.64%,5.71%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
21,15-06-2021,#REF!,#REF!,Tue,Fd System,,3,75,SHORT,#REF!,346.2,350.4,341.35,338.55,,250,#REF!,#REF!,-1.50%,363.75,113.75,1.52,WIN,28657.43,292,528657.4325,0.02%,0.02%,5.67%,5.73%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
22,15-06-2021,#REF!,#REF!,Tue,IBFD_Invertir,,3,75,SHORT,#REF!,326.25,328.5,308.25,305.35,,250,#REF!,#REF!,-1.34%,1350,1100,14.67,WIN,29757.43,307,529757.4325,0.21%,0.22%,5.87%,5.95%,536266.9325,1.90%,-1.29%,-1.13%,-0.07%,
